seed,episode,soups,sampled_roles,teacher_roles,observed_roles
4,317,6.0,0-1-2,0-1-2,0-1-2
4,318,0.0,0-1-2,0-2-1,0-1-2
4,319,6.0,0-1-2,0-1-2,0-1-2
4,320,6.0,0-1-2,0-1-2,0-1-2
4,321,6.0,0-1-2,0-1-2,0-1-2
4,322,6.0,0-1-2,0-1-2,0-1-2
4,323,6.0,0-1-2,0-1-2,0-1-2
4,324,6.0,0-1-2,0-1-2,0-1-2
4,325,6.0,0-1-2,0-1-2,0-1-2
4,326,6.0,0-1-2,0-1-2,0-1-2
4,327,6.0,0-1-2,0-1-2,0-1-2
4,328,6.0,0-1-2,0-1-2,0-1-2
4,329,6.0,0-1-2,0-1-2,0-1-2
4,330,0.0,0-1-2,0-2-1,0-1-2
4,331,6.0,0-1-2,0-1-2,0-1-2
4,332,6.0,1-0-2,0-1-2,0-1-2
4,333,4.0,1-2-2,0-1-2,0-1-2
4,334,6.0,0-1-2,0-1-2,0-1-2
4,335,6.0,0-1-2,0-1-2,0-1-2
4,336,0.0,0-1-2,0-2-1,0-1-2
4,337,6.0,0-1-2,0-1-2,0-1-2
4,338,6.0,0-1-2,0-1-2,0-1-2
4,339,6.0,0-1-2,0-1-2,0-1-2
4,340,6.0,0-1-2,0-1-2,0-1-2
4,341,6.0,0-1-2,0-1-2,0-1-2
4,342,6.0,0-1-2,0-1-2,0-1-2
4,343,6.0,0-1-2,0-1-2,0-1-2
4,344,0.0,0-0-1,0-1-2,0-1-2
4,345,6.0,0-1-2,0-1-2,0-1-2
4,346,0.0,0-1-2,0-2-1,0-1-2
4,347,6.0,0-1-2,0-1-2,0-1-2
4,348,6.0,0-1-2,0-1-2,0-1-2
4,349,0.0,0-1-2,0-2-1,0-1-2
4,350,0.0,0-1-2,0-2-1,0-1-2
4,351,6.0,0-1-2,0-1-2,0-1-2
4,352,6.0,0-1-2,0-1-2,0-1-2
4,353,6.0,0-1-2,0-1-2,0-1-2
4,354,3.0,0-2-2,0-2-1,0-2-2
4,355,6.0,0-1-2,0-1-2,0-1-2
4,356,0.0,2-2-2,0-1-2,0-1-2
4,357,0.0,0-2-2,0-1-2,0-2-2
4,358,6.0,0-1-2,0-1-2,0-1-2
4,359,6.0,0-1-2,0-1-2,0-1-2
