seed,episode,soups,sampled_roles,teacher_roles,observed_roles
3,94,0.0,0-0-1,0-1-2,0-1-2
3,95,3.0,2-2-1,0-1-2,0-1-2
3,96,0.0,1-0-2,0-1-2,0-1-2
3,97,4.0,1-1-2,0-1-2,0-1-2
3,98,0.0,0-0-2,0-1-2,0-1-2
3,99,4.0,2-1-2,0-1-2,0-1-2
3,100,4.0,2-2-1,1-0-2,0-1-2
3,101,0.0,0-0-1,0-1-2,0-1-2
3,102,0.0,2-2-2,0-2-1,0-1-2
3,103,0.0,2-0-2,0-1-2,0-1-2
3,104,4.0,1-1-2,1-0-2,0-1-2
3,105,2.0,0-2-0,0-1-2,0-1-2
3,106,4.0,2-2-1,0-2-1,0-1-2
3,107,0.0,1-1-0,0-2-1,0-1-2
3,108,4.0,2-1-2,0-1-2,0-1-2
3,109,4.0,2-1-2,0-1-2,0-1-2
3,110,0.0,1-1-1,0-1-2,0-1-2
3,111,4.0,2-0-0,1-0-2,0-1-2
3,112,0.0,1-1-2,0-1-2,0-1-2
3,113,4.0,2-0-2,0-2-1,0-1-2
3,114,4.0,2-2-0,0-1-2,0-1-2
3,115,4.0,2-2-0,0-1-2,0-1-2
3,116,4.0,1-2-2,0-1-2,0-1-2
3,117,6.0,0-1-2,0-1-2,0-1-2
3,118,2.0,0-0-2,1-0-2,0-1-2
3,119,0.0,0-0-0,0-1-2,0-1-2
3,120,0.0,0-1-0,0-1-2,0-1-2
3,121,6.0,1-2-0,0-1-2,0-1-2
3,122,0.0,1-1-2,0-1-2,0-1-2
3,123,0.0,0-0-0,0-1-2,0-1-2
3,124,4.0,2-1-1,0-1-2,0-1-2
3,125,0.0,2-1-0,0-1-2,0-1-2
3,126,0.0,0-2-2,0-1-2,0-1-2
3,127,0.0,2-1-1,1-0-2,0-1-2
3,128,4.0,2-1-1,0-1-2,0-1-2
3,129,0.0,0-0-0,0-1-2,0-1-2
3,130,6.0,2-1-0,0-1-2,0-1-2
3,131,3.0,2-2-0,0-1-2,0-1-2
3,132,0.0,0-1-1,0-1-2,0-1-2
3,133,0.0,2-1-1,0-1-2,0-1-2
3,134,4.0,2-2-1,0-1-2,0-1-2
3,135,6.0,2-1-0,0-1-2,0-1-2
3,136,0.0,0-1-0,0-1-2,0-1-2
3,137,0.0,0-1-1,1-0-2,0-1-2
3,138,0.0,1-0-1,0-1-2,0-1-2
3,139,4.0,1-2-1,0-1-2,0-1-2
3,140,0.0,1-0-0,0-1-2,0-1-2
3,141,0.0,0-0-2,0-1-2,0-1-2
3,142,6.0,1-0-2,0-1-2,0-1-2
3,143,2.0,0-2-0,0-1-2,0-1-2
3,144,0.0,1-1-1,1-0-2,0-1-2
3,145,6.0,0-2-1,0-2-1,0-1-2
3,146,0.0,0-1-2,0-2-1,0-1-2
3,147,0.0,1-2-0,0-1-2,0-1-2
3,148,3.0,2-1-2,0-2-1,0-1-2
3,149,0.0,1-0-0,0-1-2,0-1-2
3,150,0.0,2-2-0,0-1-2,0-1-2
3,151,6.0,1-0-2,0-1-2,0-1-2
3,152,0.0,2-0-0,0-1-2,0-1-2
3,153,4.0,1-1-2,0-1-2,0-1-2
